,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,position_simple,player_id
0,Middlesbrough FC,Tommy Wright,26.0,Left Winger,Leicester,£819Th.,in,Summer,0.8190000000000001,Premier League,1992,1992/1993,attacker,10934.0
1,Middlesbrough FC,Jonathan Gittens,28.0,Defender,Southampton,£225Th.,in,Summer,0.225,Premier League,1992,1992/1993,defender,1.0
3,Norwich City,Mark Robins,22.0,Centre-Forward,Man Utd,£900Th.,in,Summer,0.9,Premier League,1992,1992/1993,attacker,10937.0
5,Norwich City,Paul Blades,27.0,Right-Back,Wolves,£340Th.,out,Summer,0.34,Premier League,1992,1992/1993,defender,3.0
6,Norwich City,Adrian Pennock,21.0,Midfielder,Bournemouth,£32Th.,out,Summer,0.032,Premier League,1992,1992/1993,midfielder,4.0
7,Oldham Athletic,Ian Olney,22.0,Centre-Forward,Aston Villa,£805Th.,in,Summer,0.805,Premier League,1992,1992/1993,attacker,5.0
8,Oldham Athletic,Neil Pointon,27.0,Left-Back,Man City,£608Th.,in,Summer,0.608,Premier League,1992,1992/1993,defender,6.0
9,Oldham Athletic,Steve Redmond,24.0,Centre-Back,Man City,£405Th.,in,Summer,0.405,Premier League,1992,1992/1993,defender,7.0
10,Sheffield Wednesday,Mark Bright,30.0,Forward,Crystal Palace,£1.53m,in,Summer,1.53,Premier League,1992,1992/1993,attacker,10938.0
11,Sheffield Wednesday,Chris Waddle,31.0,Attacking Midfield,Marseille,£1.35m,in,Summer,1.35,Premier League,1992,1992/1993,midfielder,10939.0
12,Sheffield Wednesday,Marlon Beresford,22.0,Goalkeeper,Burnley,£126Th.,out,Summer,0.126,Premier League,1992,1992/1993,goalkeeper,10.0
13,Wimbledon FC,Dean Holdsworth,23.0,Centre-Forward,Brentford,£900Th.,in,Summer,0.9,Premier League,1992,1992/1993,attacker,10940.0
14,Wimbledon FC,Vinnie Jones,27.0,Defensive Midfield,Chelsea,£747Th.,in,Summer,0.747,Premier League,1992,1992/1993,midfielder,10941.0
15,Wimbledon FC,Greg Berry,21.0,Midfielder,Leyton Orient,£282Th.,in,Summer,0.282,Premier League,1992,1992/1993,midfielder,10942.0
16,Coventry City,Phil Babb,21.0,Centre-Back,Bradford,£662Th.,in,Summer,0.662,Premier League,1992,1992/1993,defender,10943.0
17,Coventry City,John Williams,24.0,Centre-Forward,Swansea,£270Th.,in,Summer,0.27,Premier League,1992,1992/1993,attacker,10944.0
18,Coventry City,Paul Edwards,28.0,Left-Back,Wolves,£101Th.,out,Summer,0.10099999999999999,Premier League,1992,1992/1993,defender,16.0
19,Manchester United,Dion Dublin,23.0,Centre-Forward,Cambridge Utd.,£1.35m,in,Summer,1.35,Premier League,1992,1992/1993,attacker,10945.0
20,Manchester United,Pat McGibbon,18.0,Centre-Back,Portadown,£203Th.,in,Summer,0.203,Premier League,1992,1992/1993,defender,10946.0
24,Manchester United,Derek Brazil,23.0,Right-Back,Cardiff,£85Th.,out,Summer,0.085,Premier League,1992,1992/1993,defender,19.0
25,Crystal Palace,Darren Patterson,22.0,Right-Back,Wigan,£306Th.,in,Summer,0.306,Premier League,1992,1992/1993,defender,20.0
27,Nottingham Forest,Neil Webb,28.0,Central Midfield,Man Utd,£833Th.,in,Summer,0.833,Premier League,1992,1992/1993,midfielder,21.0
30,Ipswich Town,Geraint Williams,30.0,Defensive Midfield,Derby,£675Th.,in,Summer,0.675,Premier League,1992,1992/1993,midfielder,22.0
31,Ipswich Town,David Lowe,26.0,Right Midfield,Leicester,£270Th.,out,Summer,0.27,Premier League,1992,1992/1993,midfielder,23.0
32,Arsenal FC,John Jensen,27.0,Central Midfield,Bröndby IF,£1.44m,in,Summer,1.44,Premier League,1992,1992/1993,midfielder,24.0
35,Chelsea FC,Nigel Spackman,31.0,Central Midfield,Rangers,£540Th.,in,Summer,0.54,Premier League,1992,1992/1993,midfielder,25.0
36,Chelsea FC,Anthony Barness,19.0,Right-Back,Charlton,£473Th.,in,Summer,0.473,Premier League,1992,1992/1993,defender,10947.0
37,Chelsea FC,David Hopkin,22.0,Right Midfield,Morton,£405Th.,in,Summer,0.405,Premier League,1992,1992/1993,midfielder,10948.0
38,Chelsea FC,Mick Harford,33.0,Centre-Forward,Luton,£315Th.,in,Summer,0.315,Premier League,1992,1992/1993,attacker,10949.0
39,Chelsea FC,Mal Donaghy,34.0,Left-Back,Man Utd,£180Th.,in,Summer,0.18,Premier League,1992,1992/1993,defender,29.0
43,Aston Villa,Dean Saunders,28.0,Centre-Forward,Liverpool,£2.57m,in,Summer,2.57,Premier League,1992,1992/1993,attacker,10950.0
44,Aston Villa,Ray Houghton,30.0,Central Midfield,Liverpool,£969Th.,in,Summer,0.9690000000000001,Premier League,1992,1992/1993,midfielder,10951.0
46,Leeds United,David Rocastle,25.0,Attacking Midfield,Arsenal,£2.16m,in,Summer,2.16,Premier League,1992,1992/1993,midfielder,10952.0
47,Leeds United,Kevin Sharp,18.0,Left-Back,AJ Auxerre,£81Th.,in,Summer,0.081,Premier League,1992,1992/1993,defender,10953.0
48,Leeds United,Bobby Davison,33.0,Forward,Leicester,£59Th.,out,Summer,0.059000000000000004,Premier League,1992,1992/1993,attacker,34.0
49,Sheffield United,Alan Kelly,23.0,Goalkeeper,Preston NE,£189Th.,in,Summer,0.18899999999999997,Premier League,1992,1992/1993,goalkeeper,35.0
